"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_201032	0	132	-8.04439411935845	-7.79697746004572	-10.9123949261873	1.00571332896011e-27	1.49697300657792e-27	4.49138556180676e-29	TRUE
NM_200905	55716	70334	-0.33613058113	-0.0887139218172652	-10.9014294576068	1.13460617518108e-27	1.68844610323033e-27	5.06643442832469e-29	TRUE
NM_001017627	5780	8256	-0.514373478035212	-0.266956818722478	-10.8951687744249	1.21541013698508e-27	1.80848982483689e-27	5.42664352406549e-29	TRUE
NM_001030089	359	824	-1.19866049336017	-0.951243834047433	-10.8932110240344	1.24183047851463e-27	1.8475946318708e-27	5.54398333153139e-29	TRUE
NM_001328103	190	46	2.04629365227393	2.29371031158667	10.8899120056387	1.2876462483467e-27	1.91554390733924e-27	5.74787526977827e-29	TRUE
NM_001020557	105	372	-1.82491329344191	-1.57749663412917	-10.8895418587036	1.29289019960306e-27	1.92312874996606e-27	5.77063472164612e-29	TRUE
NM_199857	29520	32104	-0.121060339832237	0.126356319480498	10.887335676601	1.32458789781911e-27	1.97005648336832e-27	5.91144838676555e-29	TRUE
NM_001320482	226	598	-1.40382271178292	-1.15640605247018	-10.8873236709011	1.32476248321148e-27	1.97009468532889e-27	5.91156301744749e-29	TRUE
NM_001044843	43	236	-2.45637829465974	-2.20896163534701	-10.8865743896004	1.33570371642894e-27	1.98614248955622e-27	5.95971684816843e-29	TRUE
NM_001110128	60	276	-2.20163386116965	-1.95421720185691	-10.8854381650102	1.35246643265054e-27	2.0108420463422e-27	6.03383155317764e-29	TRUE
NM_131438	5609	5414	0.0510486954668217	0.298465354779556	10.8795575863342	1.44261423013609e-27	2.14463245830681e-27	6.43528964417646e-29	TRUE
NM_001302477	29	200	-2.78587519464715	-2.53845853533442	-10.8776477385448	1.47315460566252e-27	2.18978862908896e-27	6.57078747135866e-29	TRUE
NM_001077773	5620	5426	0.0506810828264221	0.298097742139157	10.8775006216229	1.47553357804223e-27	2.19307849596458e-27	6.580659207727e-29	TRUE
NM_205762	1463	1132	0.370055811306605	0.61747247061934	10.8767737019473	1.48734436222517e-27	2.21038450596441e-27	6.6325884725773e-29	TRUE
NM_001309525	14638	15328	-0.0664510155148577	0.180965643797877	10.8759970378145	1.50006699436275e-27	2.22904159955229e-27	6.68857186529871e-29	TRUE
NM_213311	367	836	-1.18772287923767	-0.940306219924935	-10.8666594529137	1.66174238803717e-27	2.46900769636382e-27	7.40862593879897e-29	TRUE
